Platz;Team;DWZ-Schnitt;Land;G;U;V;MP;SoBo;BP
1;Schachzentrum Bemerode;1447;Niedersachsen ;6;0;1;12;213,5;22,5
2;Hamburger SK;1397;Hamburg ;5;2;0;12;176;19,5
3;Düsseldorfer SV;1152;Nordrhein-Westfalen ;6;0;1;12;156,5;18
4;TSG Oberschöneweide;1267;Berlin ;5;1;1;11;147;17,5
5;USV TU Dresden;1243;Sachsen ;4;2;1;10;176;19,5
6;TuS Coswig;1301;Sachsen ;4;2;1;10;158;18
7;Karlsruher SF;1298;Baden ;4;2;1;10;157,5;19
8;Schachzwerge Magdeburg;1336;Sachsen-Anhalt ;5;0;2;10;139,5;16,5
9;SC Erlangen;1298;Bayern ;5;0;2;10;130,5;15,5
10;Lübecker SV;1299;Schleswig-Holstein ;4;1;2;9;143,5;17
11;SV Empor Berlin;1148;Berlin ;4;1;2;9;133;19,5
12;SV Königsjäger Süd-West;1148;Berlin ;4;1;2;9;113,5;16
13;USV Halle;1176;Sachsen-Anhalt ;3;3;1;9;113;16
14;BSG Grün-Weiß Leipzig;1219;Sachsen ;4;1;2;9;102;14,5
15;SC Turm Lüneburg;1038;Niedersachsen ;4;1;2;9;101,5;15,5
16;VfL 1990 Gera;1118;Thüringen ;4;1;2;9;86;13,5
17;SG Einheit Staßfurt;1234;Sachsen-Anhalt ;4;0;3;8;134,5;16,5
18;SV „Glück auf“ Rüdersdorf;1270;Brandenburg ;3;2;2;8;123;17
19;PSV Dorfen;1103;Bayern ;3;2;2;8;118;16
20;Mönchengladbacher SV;930;Nordrhein-Westfalen ;3;2;2;8;111;15
21;SK Blauer Springer Paderborn;1114;Nordrhein-Westfalen ;4;0;3;8;106;17
22;Schachpinguine Berlin;1153;Berlin ;3;2;2;8;104,5;15,5
23;TuRa Harksheide Norderstedt;1047;Schleswig-Holstein ;3;2;2;8;103;15,5
24;VSG 1880 Offenbach;1042;Hessen ;4;0;3;8;102;16
25;SG Königskinder Hohentübingen;1130;Württemberg ;3;2;2;8;100;15,5
26;SK München Südost;1110;Bayern ;3;2;2;8;98;15,5
27;TSV Kitzscher;1053;Sachsen ;2;4;1;8;89;14,5
28;SK Doppelbauer Kiel;1074;Schleswig-Holstein ;4;0;3;8;78,5;14
29;SV Hellas Nauen;954;Brandenburg ;3;1;3;7;115,5;16,5
30;SG Porz;995;Nordrhein-Westfalen ;2;3;2;7;109,5;14,5
31;SV Roter Turm Halle;1086;Sachsen-Anhalt ;3;1;3;7;98,5;14
32;SF Brackel;986;Nordrhein-Westfalen ;3;1;3;7;95;15
33;SC Kreuzberg;1132;Berlin ;3;1;3;7;94,5;14,5
34;SV Weißblau Allianz Leipzig;946;Sachsen ;2;3;2;7;81,5;14,5
35;Schach-Kids Bernhausen;1085;Württemberg ;3;1;3;7;66;12,5
36;SSV Vimaria 91 Weimar;833;Thüringen ;3;1;3;7;54;12
37;SC Nidderau;958;Hessen ;3;0;4;6;90,5;13,5
38;SF Hettstedt;999;Sachsen-Anhalt ;2;2;3;6;89;13,5
39;SK Lehrte;1027;Niedersachsen ;2;2;3;6;87,5;14,5
40;TSV Bindlach Aktionär;938;Bayern ;2;2;3;6;86;13
41;SG Turm Raesfeld;1026;Nordrhein-Westfalen ;3;0;4;6;84;14
42;SK Neumarkt;875;Bayern ;2;2;3;6;81;13
43;SK König Plauen;1057;Sachsen ;2;2;3;6;77;13
44;SV Dresden-Leuben;926;Sachsen ;2;2;3;6;71,5;12,5
45;SV Hemer;882;Nordrhein-Westfalen ;3;0;4;6;68;12,5
46;SF Essen-Werden;847;Nordrhein-Westfalen ;2;2;3;6;60,5;12
47;SG Blau-Weiß Stadtilm;871;Thüringen ;2;2;3;6;59;11,5
48;SF Nordost Berlin;850;Berlin ;2;2;3;6;39,5;9
49;SG Niederkassel;832;Nordrhein-Westfalen ;3;0;4;6;36;13
50;SV Schachfreunde Friedrichshagen;959;Berlin ;1;3;3;5;79;12,5
51;Peiner SV;727;Niedersachsen ;2;1;4;5;74;13
52;SC Postbauer-Heng;866;Bayern ;2;1;4;5;45;11,5
53;Elberfelder SG;1027;Nordrhein-Westfalen ;2;1;4;5;44,5;11,5
54;Elmshorner SC;830;Schleswig-Holstein ;2;1;4;5;39,5;10,5
55;VfL Gräfenhainichen;832;Sachsen-Anhalt ;2;1;4;5;32;11,5
56;Schachakademie Paderborn;752;Nordrhein-Westfalen ;2;0;5;4;70,5;12
57;SV Empor Erfurt;891;Thüringen ;2;0;5;4;55,5;13,5
58;USC Magdeburg;835;Sachsen-Anhalt ;1;2;4;4;50,5;9,5
59;SK Münster;722;Nordrhein-Westfalen ;2;0;5;4;48;12,5
60;SK Dessau;716;Sachsen-Anhalt ;2;0;5;4;46;10,5
61;SV Merseburg;864;Sachsen-Anhalt ;1;1;5;3;29;9,5
62;SV Freital;645;Sachsen ;1;1;5;3;22;8
63;MTV 1876 Saalfeld;825;Thüringen ;1;0;6;2;8;5,5
